iter	Passed	Remaining
0	63	12621
1	123	12217
2	181	11903
3	243	11914
4	302	11784
5	364	11772
6	423	11663
7	483	11603
8	541	11501
9	600	11411
10	657	11295
11	716	11222
12	773	11132
13	831	11048
14	890	10977
15	962	11065
16	1020	10983
17	1078	10904
18	1135	10814
19	1192	10728
20	1251	10663
21	1306	10573
22	1367	10524
23	1428	10473
24	1490	10435
25	1552	10388
26	1608	10304
27	1664	10223
28	1720	10147
29	1779	10083
30	1835	10008
31	1890	9926
32	1949	9863
33	2008	9806
34	2066	9741
35	2121	9663
36	2178	9598
37	2235	9529
38	2294	9470
39	2351	9406
40	2407	9336
41	2460	9257
42	2518	9195
43	2576	9133
44	2632	9066
45	2684	8986
46	2742	8927
47	2798	8861
48	2855	8798
49	2909	8728
50	2968	8673
51	3026	8614
52	3088	8565
53	3143	8497
54	3198	8432
55	3257	8376
56	3315	8317
57	3371	8255
58	3430	8198
59	3488	8140
60	3541	8070
61	3600	8013
62	3658	7956
63	3714	7893
64	3769	7829
65	3823	7762
66	3880	7702
67	3934	7638
68	3989	7574
69	4043	7509
70	4101	7451
71	4157	7391
72	4212	7328
73	4269	7269
74	4325	7208
75	4381	7148
76	4439	7091
77	4497	7034
78	4553	6974
79	4612	6919
80	4667	6856
81	4721	6794
82	4780	6738
83	4834	6675
84	4892	6619
85	4950	6562
86	5006	6503
87	5061	6441
88	5116	6381
89	5173	6322
90	5231	6266
91	5284	6203
92	5340	6144
93	5393	6082
94	5453	6027
95	5507	5966
96	5562	5906
97	5615	5844
98	5674	5789
99	5726	5726
100	5780	5666
101	5837	5608
102	5890	5547
103	5941	5484
104	5993	5422
105	6051	5366
106	6106	5307
107	6163	5250
108	6219	5192
109	6278	5136
110	6332	5077
111	6387	5019
112	6441	4959
113	6497	4901
114	6550	4841
115	6605	4783
116	6661	4725
117	6712	4664
118	6766	4605
119	6825	4550
120	6881	4492
121	6940	4437
122	6991	4376
123	7047	4319
124	7098	4259
125	7150	4199
126	7203	4140
127	7256	4081
128	7312	4024
129	7368	3967
130	7422	3909
131	7478	3852
132	7533	3795
133	7586	3736
134	7642	3679
135	7695	3621
136	7750	3564
137	7805	3506
138	7862	3450
139	7917	3393
140	7972	3335
141	8029	3279
142	8081	3221
143	8135	3163
144	8188	3105
145	8242	3048
146	8297	2991
147	8355	2935
148	8409	2878
149	8470	2823
150	8526	2766
151	8585	2711
152	8639	2653
153	8695	2597
154	8750	2540
155	8804	2483
156	8859	2426
157	8917	2370
158	8972	2313
159	9025	2256
160	9085	2200
161	9139	2143
162	9200	2088
163	9254	2031
164	9308	1974
165	9363	1917
166	9418	1861
167	9473	1804
168	9529	1747
169	9586	1691
170	9633	1633
171	9688	1577
172	9743	1520
173	9803	1464
174	9862	1408
175	9908	1351
176	9956	1293
177	10003	1236
178	10049	1178
179	10094	1121
180	10139	1064
181	10185	1007
182	10234	950
183	10281	894
184	10331	837
185	10376	781
186	10422	724
187	10467	668
188	10511	611
189	10556	555
190	10602	499
191	10648	443
192	10693	387
193	10739	332
194	10785	276
195	10830	221
196	10875	165
197	10920	110
198	10965	55
199	11011	0
