iter	Passed	Remaining
0	62	12524
1	119	11816
2	172	11344
3	230	11291
4	284	11089
5	342	11068
6	397	10958
7	452	10852
8	505	10727
9	560	10644
10	618	10632
11	677	10614
12	730	10507
13	783	10403
14	836	10312
15	888	10215
16	941	10132
17	993	10041
18	1046	9973
19	1101	9909
20	1156	9856
21	1209	9786
22	1266	9745
23	1321	9688
24	1377	9642
25	1434	9600
26	1487	9532
27	1541	9467
28	1596	9410
29	1652	9364
30	1705	9299
31	1759	9237
32	1814	9184
33	1871	9136
34	1926	9080
35	1979	9018
36	2035	8966
37	2091	8915
38	2149	8871
39	2202	8811
40	2256	8751
41	2307	8678
42	2361	8620
43	2414	8561
44	2468	8502
45	2518	8432
46	2575	8382
47	2628	8324
48	2682	8265
49	2734	8204
50	2789	8150
51	2843	8092
52	2900	8044
53	2952	7982
54	3005	7922
55	3059	7867
56	3115	7815
57	3168	7758
58	3223	7704
59	3278	7650
60	3328	7585
61	3383	7530
62	3436	7473
63	3488	7413
64	3542	7357
65	3593	7296
66	3649	7244
67	3702	7186
68	3755	7130
69	3807	7071
70	3861	7016
71	3914	6958
72	3966	6899
73	4020	6846
74	4076	6794
75	4129	6737
76	4184	6684
77	4240	6632
78	4295	6578
79	4350	6525
80	4400	6464
81	4452	6407
82	4507	6353
83	4557	6294
84	4612	6240
85	4664	6183
86	4715	6125
87	4772	6074
88	4824	6017
89	4875	5959
90	4929	5904
91	4980	5846
92	5034	5792
93	5085	5734
94	5142	5683
95	5195	5628
96	5247	5571
97	5298	5514
98	5353	5461
99	5402	5402
100	5456	5348
101	5509	5293
102	5561	5237
103	5610	5178
104	5660	5121
105	5715	5068
106	5768	5013
107	5822	4959
108	5876	4905
109	5931	4852
110	5982	4796
111	6036	4742
112	6088	4687
113	6142	4633
114	6193	4577
115	6246	4523
116	6300	4469
117	6349	4412
118	6401	4357
119	6456	4304
120	6508	4249
121	6564	4196
122	6614	4140
123	6666	4085
124	6716	4029
125	6765	3973
126	6817	3918
127	6868	3863
128	6921	3809
129	6973	3754
130	7024	3700
131	7080	3647
132	7132	3593
133	7183	3538
134	7237	3484
135	7289	3430
136	7340	3375
137	7393	3321
138	7446	3267
139	7497	3213
140	7549	3158
141	7603	3105
142	7654	3051
143	7705	2996
144	7755	2941
145	7805	2887
146	7858	2833
147	7913	2780
148	7964	2726
149	8020	2673
150	8073	2619
151	8130	2567
152	8181	2513
153	8232	2459
154	8285	2405
155	8336	2351
156	8389	2297
157	8444	2244
158	8497	2191
159	8546	2136
160	8602	2083
161	8653	2029
162	8710	1977
163	8759	1922
164	8811	1869
165	8865	1815
166	8916	1762
167	8968	1708
168	9021	1654
169	9076	1601
170	9119	1546
171	9170	1492
172	9221	1439
173	9276	1386
174	9331	1333
175	9375	1278
176	9420	1224
177	9466	1170
178	9509	1115
179	9551	1061
180	9593	1007
181	9636	953
182	9678	899
183	9720	845
184	9764	791
185	9805	738
186	9848	684
187	9890	631
188	9931	578
189	9973	524
190	10016	471
191	10059	419
192	10100	366
193	10141	313
194	10182	261
195	10224	208
196	10266	156
197	10307	104
198	10350	52
199	10392	0
